Lfd.-Nr.:;Objektname;BNr.:;Sorte botanisch;Objekt_Nr;Objektname_Zusatz;Baumrevier;Produkt;Sorte deutsch;örtlicher Bezug;HausNr.:;Hausnr Zusatz;Hochwert;Rechtswert;Status Baumstandort;Schadstufe;Pflegekategorie;Datum_Erfassung;Bemerkung;Pflanzjahr;Standalter;Stammanzahl;Stammumfang;Stammdurchmesser;Pflegestufe;letzte_Kontrolle_am;nächste_Regelkontrolle;letzte_Kontrolle_von;Fälldatum;Fällgrund;Baumscheibenfläche;Baumhöhe;Kronendurchmesser;Baumscheibenbreite;Baumscheibenlänge;Baumscheibenradius;Baumscheibenoberfläche;Unterpflanzung;Standort;Einfassung;Wassersack;Giessring
843;Müggelstraße;78;78 Tilia cordata 'Rancho' (aktiv);MÜGGELST;;02.01. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Kleinkronige Winter-Linde;Nr. 24;24;;;;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;12.06.12;12.06.2012 Notiz: Entwicklungspflege bis 30.4.2014 Fa Kara;2012;8;1;41;13;2 Pflegestufe 2 (Standard);28.04.20;27.04.21;Engelke Lisa;;;6;6;3;1.5;4;;Unzugänglicher Stammfuß;Stauden;;Fremdeinfassung;FALSCH;FALSCH
844;Müggelstraße;79;79 Tilia cordata 'Rancho' (aktiv);MÜGGELST;;02.01. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Kleinkronige Winter-Linde;Nr. 25;25;;;;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;12.06.12;12.06.2012 Notiz: Entwicklungspflege bis 30.4.2014 Fa Kara;2012;8;1;41;13;2 Pflegestufe 2 (Standard);28.04.20;27.04.21;Engelke Lisa;;;5.55;6;3;1.5;3.7;;;;;;FALSCH;FALSCH
845;Müggelstraße;80;80 Tilia cordata 'Rancho' (aktiv);MÜGGELST;;02.01. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Kleinkronige Winter-Linde;Nr. 25a. Ecke Scharnweberstraße;25A;;;;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;12.06.12;12.06.2012 Notiz: Entwicklungspflege bis 30.4.2014 Fa Kara;2012;8;1;38;12;2 Pflegestufe 2 (Standard);28.04.20;27.04.21;Engelke Lisa;;;5.55;6;4;1.5;3.7;;;;;;FALSCH;FALSCH
846;Mühsamstraße;3;3 Sorbus intermedia 'Brouwers' (aktiv);MÜHSAMST;;02.07. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Schwedische Mehlbeere;Nr. 71;71;;5820119.844;395100.0595;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;16.02.15;"Stadtbaumkampagne Herbst 2014
Entwicklungspflege bis E. 2017";2014;6;1;22;7;2 Pflegestufe 2 (Standard);12.08.19;10.08.20;Baier Jana;;;3;6;1;1.5;2;;Private Bepflanzung;Fremdbepflanzung;;;FALSCH;FALSCH
847;Mühsamstraße;8;8 Sorbus intermedia (aktiv);MÜHSAMST;;02.07. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Oxelbeere. Schwedische Mehlbeere;Nr. 61;61;;5820092.611;395031.426;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;28.11.16;;2017;3;1;20;6;2 Pflegestufe 2 (Standard);12.08.19;10.08.20;Baier Jana;;;3.65;4;1;1.35;2.7;;Rindenmulch;;;;FALSCH;FALSCH
848;Mühsamstraße;21;21 Sorbus intermedia (aktiv);MÜHSAMST;;02.07. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Oxelbeere. Schwedische Mehlbeere;Nr. 41;41;;5819997.117;394789.7565;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;16.08.13;"16.08.2013 Notiz: Stadtbaumkampagne: Pflege bis Okt. 2013
16.08.2013 Notiz: Korrektur: Pflege bis Okt. 2015
Bewässerung 2020";2013;7;1;25;8;2 Pflegestufe 2 (Standard);12.08.19;10.08.20;Baier Jana;;;2;4;2;;;;;;;;FALSCH;FALSCH
849;Mühsamstraße;31;31 Pyrus calleryana 'Chanticleer' (aktiv);MÜHSAMST;;02.07. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Chinesische Wild-Birne;Nr. 25;25;;5819941.717;394651.0896;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;05.01.18;12.08.19 Wassersack;2018;2;1;21;7;2 Pflegestufe 2 (Standard);12.08.19;10.08.20;Baier Jana;;;3.19;4;1;1.3;2.45;;Rindenmulch;;;;FALSCH;FALSCH
850;Mühsamstraße;32;32 Pyrus calleryana 'Chanticleer' (aktiv);MÜHSAMST;;02.07. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Chinesische Wild-Birne;Nr. 25;25;;5819938.488;394643.6378;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;05.01.18;12.08.19 Wassersack;2018;2;1;23;7;2 Pflegestufe 2 (Standard);12.08.19;10.08.20;Baier Jana;;;3.15;4;1;1.28;2.46;;Rindenmulch;;;;FALSCH;FALSCH
851;Mühsamstraße;33;33 Pyrus calleryana 'Chanticleer' (aktiv);MÜHSAMST;;02.07. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Chinesische Wild-Birne;Nr. 25;25;;5819936.004;394638.1732;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;05.01.18;1208.19 Wassersack;2018;2;1;21;7;2 Pflegestufe 2 (Standard);12.08.19;10.08.20;Baier Jana;;;2.95;4;1;1.2;2.46;;Rindenmulch;;;;FALSCH;FALSCH
852;Mühsamstraße;34;34 Pyrus calleryana 'Chanticleer' (aktiv);MÜHSAMST;;02.07. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Chinesische Wild-Birne;Nr. 23;23;;5819933.023;394630.9699;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;05.01.18;12.08.19 Wassersack;2018;2;1;20;6;2 Pflegestufe 2 (Standard);12.08.19;10.08.20;Baier Jana;;;3.06;4;1;1.2;2.55;;Rindenmulch;;;;FALSCH;FALSCH
