tree_id,time,uuid,amount,timestamp,username
_87g9ptokf,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_mgy78m6pv,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_lnjkwc84c,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_684scga5a,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_qqzqt441y,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_u6qygaxd3,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_pb8fl2y1c,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_i4x1yzbvs,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_se3zouo11,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_dgg8i2xj0,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_vfk83ah5s,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_esewfcxxh,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_d76y6qhu5,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_cxon90yu2,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_cxy4ndg5g,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_yl4pfjwpo,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_sdhn6n5u9,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_tmul0m4hu,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_qz4o9tcc5,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_ih8957uf2,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_6byju1eqt,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_di53hz5jk,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_o0lizwedi,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_tibxemm3v,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_rpmp9hy0d,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
